base_score,625
grade,Score
A,45.0
B,15.0
C,-2.0
D,-20.0
E,-33.0
F,-46.0
G,-49.0
total_pymnt,Score
"(-inf, 1344.115]",-48.0
"(1344.115, 2999.97]",-22.0
"(2999.97, 3681.368]",-9.0
"(3681.368, 9957.025]",7.0
"(9957.025, inf]",49.0
last_credit_pull_d,Score
"(-inf, 45.5]",6.0
"(45.5, 106.5]",-29.0
"(106.5, 227.0]",-41.0
"(227.0, inf]",8.0
verification_status,Score
Not Verified,5.0
Source Verified,-1.0
Verified,-4.0
acc_open_past_24mths,Score
"(-inf, 3.5]",4.0
"(3.5, 5.5]",0.0
"(5.5, 8.5]",-3.0
"(8.5, 10.5]",-5.0
"(10.5, inf]",-8.0
mths_since_recent_inq,Score
"(-inf, -999.0]",6.0
"(-999.0, 1.5]",-4.0
"(1.5, 7.5]",-1.0
"(7.5, 10.5]",1.0
"(10.5, inf]",3.0
bc_open_to_buy,Score
"(-inf, 2446.5]",4.0
"(2446.5, 8673.5]",2.0
"(8673.5, 10613.5]",-0.0
"(10613.5, 22832.0]",-4.0
"(22832.0, inf]",-12.0
all_util,Score
"(-inf, 34.5]",5.0
"(34.5, 50.5]",3.0
"(50.5, 58.5]",1.0
"(58.5, 69.5]",-1.0
"(69.5, inf]",-3.0
dti,Score
"(-inf, 15.645]",3.0
"(15.645, 19.895]",1.0
"(19.895, 23.695]",-1.0
"(23.695, 30.405]",-3.0
"(30.405, inf]",-5.0
open_il_24m,Score
"(-inf, 0.5]",-0.0
"(0.5, 1.5]",-0.0
"(1.5, 2.5]",0.0
"(2.5, 3.5]",0.0
"(3.5, inf]",1.0
il_util,Score
"(-inf, -999.0]",-1.0
"(-999.0, 51.5]",-2.0
"(51.5, 61.5]",-1.0
"(61.5, 75.5]",0.0
"(75.5, inf]",1.0
bc_util,Score
"(-inf, 20.05]",3.0
"(20.05, 45.05]",5.0
"(45.05, 54.05]",1.0
"(54.05, 94.85]",-2.0
"(94.85, inf]",-6.0
open_acc_6m,Score
"(-inf, 0.5]",-0.0
"(0.5, 1.5]",0.0
"(1.5, 2.5]",0.0
"(2.5, inf]",0.0
